RGN,ITM_NM,UNIT_NM,C1_NM,PRD_DE,DT,남,여,인구
강원도,검거건수,건,국민체육진흥법,2020,14.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,국민체육진흥법,2021,19.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2014,153.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2015,190.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2016,257.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2017,277.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2018,197.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2019,347.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2020,223.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,국토의계획 및 이용에 관한법률,2021,213.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,권리행사 방해,2014,507.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,권리행사 방해,2015,760.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,권리행사 방해,2016,873.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,권리행사 방해,2017,1087.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,권리행사 방해,2018,1159.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,권리행사 방해,2019,1048.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,권리행사 방해,2020,758.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,권리행사 방해,2021,457.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,근로기준법,2014,4156.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,근로기준법,2015,4361.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,근로기준법,2016,4056.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,근로기준법,2017,4085.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,근로기준법,2018,4093.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,근로기준법,2019,4271.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,근로기준법,2020,3677.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,근로기준법,2021,2620.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2014,1253.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2015,1416.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2016,1259.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2017,1189.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2018,1148.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2019,1113.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2020,888.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,근로자 퇴직급여 보장법,2021,603.0,774332.0,764160.0,1538492.0
